Feature,IV
Credit_Score,0.3309009388300861
Single_borrower,0.1310915963781282
Debt_to_income,0.08611777667104564
CLoan_to_value,0.05556103188315503
OLoan_to_value,0.044343986152623124
State_Default_LogOdds,0.02039100871525509
Occupancy_WOE,0.020014393099701933
Loan_Purpose_WOE,0.016223819331997527
Mortgage_Insurance,0.007290437544769452
Channel_WOE,0.005740535108401152
Property_Type_WOE,0.0033725464387405154
Number_of_units,0.0014551247309633163
First_Time_Homebuyer_Flag,0.0008707411562151896
